Crop and MarinePlant SubClassOf Arthropod, True
Diatom SubClassOf Arachnid and Fungi and FungiTaxonomy and Microalgae and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf MarinePlant, True
Diatom SubClassOf Arachnid and Fungi and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Moss, True
Diatom SubClassOf Arachnid and Fungi and MarinePlant and Microalgae and Moss and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Vertebrate, \nFalse
Diatom SubClassOf Radiolarian, True
Diatom SubClassOf Arachnid and Fungi and MarinePlant and Microalgae and Moss and Radiolarian and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Human, \nFalse
Diatom SubClassOf MarineMicrobiota, True
Diatom SubClassOf Arachnid and Fungi and MarineMicrobiota and MarinePlant and Microalgae and Moss and Radiolarian and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Animal, True
Diatom SubClassOf Animal and Arachnid and Fungi and MarinePlant and Microalgae and Moss and Radiolarian and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Flagellate, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarinePlant and Microalgae and Moss and Radiolarian and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Poultry, False.
Diatom SubClassOf MarineMammal, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Moss and Radiolarian and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Amphibian, False
Diatom SubClassOf Millipede, False
Diatom SubClassOf Plankton, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Moss and Plankton and Radiolarian and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Roundworm, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Microphyte, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf SlimeMold, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Radiolarian and Roundworm and SlimeMold and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Microbiota, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf MicrobiotaTaxonomy, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Coccolithophore, True
Diatom SubClassOf Animal and Arachnid and Coccolithophore and Flagellate and Fungi and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Lichen, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and Lichen and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Leaf, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and Leaf and Lichen and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Pollen, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and Leaf and Lichen and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Pollen and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Mushroom, False
Diatom SubClassOf Fish, \nFalse
Diatom SubClassOf Reptile, \nFalse
Diatom SubClassOf MarineAnimal, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and Leaf and Lichen and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Macroalgae, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Fungi and Leaf and Lichen and Macroalgae and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Foraminifer, True
Diatom SubClassOf Animal and Arachnid and Flagellate and Foraminifer and Fungi and Leaf and Lichen and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Dairy, False.
Diatom SubClassOf Liverwort, \nFalse
Diatom SubClassOf Crustacean, False
Diatom SubClassOf Canopy, True
Diatom SubClassOf Animal and Arachnid and Canopy and Flagellate and Foraminifer and Fungi and Leaf and Lichen and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Coral, \nFalse
Diatom SubClassOf ExoticVegetation, True
Diatom SubClassOf Animal and Arachnid and Canopy and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Macrophyte, True
Diatom SubClassOf Animal and Arachnid and Canopy and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf SegmentedWorm, True
Diatom SubClassOf Animal and Arachnid and Canopy and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and SegmentedWorm and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf LivingThing, True
Diatom SubClassOf Animal and Arachnid and Canopy and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Bird, False
Diatom SubClassOf Fern, True
Diatom SubClassOf Animal and Arachnid and Canopy and ExoticVegetation and Fern and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf DominantSpecies, True
Diatom SubClassOf Animal and Arachnid and Canopy and DominantSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf BlueGreenAlgae, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and DominantSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf EvergreenVegetation, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and DominantSpecies and EvergreenVegetation and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf TreeRing, \nFalse
Diatom SubClassOf Vegetation, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and DominantSpecies and EvergreenVegetation and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf ExoticSpecies, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Litter, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and Litter and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Crown, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and Crown and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Jellyfish, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and Crown and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Jellyfish and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Invertebrate, True
Diatom SubClassOf Animal and Arachnid and BlueGreenAlgae and Canopy and Crown and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Invertebrate and Jellyfish and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Anemone, True
Diatom SubClassOf Anemone and Animal and Arachnid and BlueGreenAlgae and Canopy and Crown and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Invertebrate and Jellyfish and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Diatom SubClassOf Ciliate, True
Diatom SubClassOf Anemone and Animal and Arachnid and BlueGreenAlgae and Canopy and Ciliate and Crown and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Invertebrate and Jellyfish and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies, \nHere
Diatom SubClassOf Zooplankton, True
Diatom SubClassOf Anemone and Animal and Arachnid and BlueGreenAlgae and Canopy and Crown and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Flagellate and Foraminifer and Fungi and Invertebrate and Jellyfish and Leaf and Lichen and LivingThing and Macrophyte and MarineAnimal and MarineMammal and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Radiolarian and Roundworm and Vegetation and VegetationCover and VegetationSpecies and Zooplankton, \nTrue
