Crop and MarinePlant SubClassOf Arthropod, \nFalse
MarinePlant SubClassOf Chlorophyll and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Mollusk, \nFalse
MarinePlant SubClassOf Echinoderm, \nFalse
MarinePlant SubClassOf Plant, \nTrue
MarinePlant SubClassOf Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and Plant and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Amoebae, \nFalse
MarinePlant SubClassOf Insect, \nFalse
MarinePlant SubClassOf Mold, \nFalse
MarinePlant SubClassOf Bacteria, \nFalse
MarinePlant SubClassOf DeciduousVegetation, \nFalse
MarinePlant SubClassOf Phytoplankton, \nFalse
MarinePlant SubClassOf Coccolithophore and Crown and Diatom and Macrophyte and MicrobiotaTaxonomy and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and ExoticVegetation and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and LivingThing and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and Fern and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and DominantSpecies and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and EvergreenVegetation and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and Vegetation and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Canopy and Coccolithophore and Crown and Diatom and Litter and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Anemone and Canopy and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nTrue
MarinePlant SubClassOf Anemone and Canopy and Ciliate and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Anemone and Canopy and Coccolithophore and Crown and Diatom and IndigenousVegetation and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Anemone and Canopy and Coccolithophore and Crown and Diatom and IndigenousSpecies and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Anemone and Canopy and Coccolithophore and Crop and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Anemone and Canopy and Chlorophyll and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and VegetationCover and VegetationSpecies, \nHere
MarinePlant SubClassOf Anemone and Canopy and Coccolithophore and Crown and Diatom and Macrophyte and Microphyte and Moss and Plant and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation and MarineBird SubClassOf IndigenousSpecies, \nTrue
DeciduousVegetation and MarineBird SubClassOf Fungi, \nFalse
DeciduousVegetation and MarineBird SubClassOf Arachnid, \nFalse
DeciduousVegetation and MarineBird SubClassOf Livestock, \nFalse
DeciduousVegetation and MarineBird SubClassOf Vertebrate, \nFalse
DeciduousVegetation and MarineBird SubClassOf Radiolarian, \nFalse
DeciduousVegetation and MarineBird SubClassOf Human, \nFalse
DeciduousVegetation and MarineBird SubClassOf MarineMicrobiota, \nFalse
DeciduousVegetation and MarineBird SubClassOf Animal, \nFalse
DeciduousVegetation and MarineBird SubClassOf Flagellate, \nFalse
DeciduousVegetation and MarineBird SubClassOf Poultry, \nFalse
DeciduousVegetation and MarineBird SubClassOf MarineMammal, \nFalse
DeciduousVegetation and MarineBird SubClassOf Amphibian, \nFalse
DeciduousVegetation and MarineBird SubClassOf Millipede, \nFalse
DeciduousVegetation and MarineBird SubClassOf Plankton, \nFalse
DeciduousVegetation and MarineBird SubClassOf Roundworm, \nFalse
DeciduousVegetation and MarineBird SubClassOf SlimeMold, \nFalse
DeciduousVegetation and MarineBird SubClassOf Microbiota, \nFalse
DeciduousVegetation and MarineBird SubClassOf Lichen, \nFalse
DeciduousVegetation and MarineBird SubClassOf Pollen, \nFalse
DeciduousVegetation and MarineBird SubClassOf Mushroom, \nFalse
DeciduousVegetation and MarineBird SubClassOf Fish, \nFalse
DeciduousVegetation and MarineBird SubClassOf Reptile, \nFalse
DeciduousVegetation and MarineBird SubClassOf MarineAnimal, \nFalse
DeciduousVegetation and MarineBird SubClassOf Macroalgae, \nFalse
DeciduousVegetation and MarineBird SubClassOf Foraminifer, \nFalse
DeciduousVegetation and MarineBird SubClassOf Dairy, \nFalse
DeciduousVegetation and MarineBird SubClassOf Liverwort, \nFalse
DeciduousVegetation and MarineBird SubClassOf Crustacean, \nFalse
DeciduousVegetation and MarineBird SubClassOf Coral, \nFalse
DeciduousVegetation and MarineBird SubClassOf Bird, \nFalse
DeciduousVegetation and MarineBird SubClassOf Fern, \nFalse
DeciduousVegetation and MarineBird SubClassOf BlueGreenAlgae, \nFalse
DeciduousVegetation and MarineBird SubClassOf TreeRing, \nFalse
DeciduousVegetation and MarineBird SubClassOf Litter, \nFalse
DeciduousVegetation and MarineBird SubClassOf Jellyfish, \nFalse
DeciduousVegetation and MarineBird SubClassOf Invertebrate, \nFalse
DeciduousVegetation and MarineBird SubClassOf Ciliate, \nFalse
DeciduousVegetation and MarineBird SubClassOf Zooplankton, \nFalse
DeciduousVegetation and MarineBird SubClassOf FloweringPlant, \nTrue
MarineBird SubClassOf FloweringPlant, \nFalse
DeciduousVegetation SubClassOf FloweringPlant and VegetationCover, \nTrue
DeciduousVegetation SubClassOf FloweringPlant and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf FloweringPlant and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf FloweringPlant and Leaf and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Canopy and FloweringPlant and Leaf and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Canopy and FloweringPlant and Leaf and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Canopy and FloweringPlant and Leaf and LivingThing and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Canopy and FloweringPlant and Leaf and LivingThing and Macrophyte and Microphyte and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Canopy and Crown and FloweringPlant and Leaf and LivingThing and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Canopy and FloweringPlant and IndigenousVegetation and Leaf and LivingThing and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Canopy and FloweringPlant and IndigenousSpecies and Leaf and LivingThing and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Canopy and Chlorophyll and FloweringPlant and Leaf and LivingThing and Macrophyte and Microphyte and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Canopy and FloweringPlant and Leaf and LivingThing and Macrophyte and Microphyte and Plant and VegetationCover and VegetationSpecies, \nTrue
DeciduousVegetation SubClassOf Canopy and Crown and FloweringPlant and IndigenousVegetation and Leaf and LivingThing and Macrophyte and Microphyte and Plant and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Canopy and Crown and FloweringPlant and IndigenousSpecies and Leaf and LivingThing and Macrophyte and Microphyte and Plant and Vegetation and VegetationCover and VegetationSpecies, \nHere
DeciduousVegetation SubClassOf Canopy and Chlorophyll and Crown and FloweringPlant and Leaf and LivingThing and Macrophyte and Microphyte and Plant and Vegetation and VegetationCover and VegetationSpecies, \nHere
Crustacean and FungiTaxonomy SubClassOf Dairy, \nFalse
Crop and SegmentedWorm SubClassOf Chlorophyll, \nTrue
Crop and SegmentedWorm SubClassOf VegetationCover, \nTrue
SegmentedWorm SubClassOf VegetationCover, \nFalse
Crop SubClassOf VegetationCover, \nTrue
Crop SubClassOf Microalgae, \nTrue
Crop SubClassOf Microalgae and VegetationCover, \nTrue
Crop SubClassOf Fungi, \nFalse
Crop SubClassOf Arachnid, \nFalse
Crop SubClassOf VegetationSpecies, \nTrue
Crop SubClassOf Microalgae and VegetationCover and VegetationSpecies, \nTrue
Crop SubClassOf Livestock, False
Crop SubClassOf Sponge, False
Crop SubClassOf Flatworm, False
Crop SubClassOf Diatom, False
Crop SubClassOf FungiTaxonomy, \nTrue
Crop SubClassOf FungiTaxonomy and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf MarinePlant, \nTrue
Crop SubClassOf MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nTrue
Crop SubClassOf Moss, \nTrue
Crop SubClassOf MarinePlant and Microalgae and Moss and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Vertebrate, \nTrue
Crop SubClassOf MarinePlant and Microalgae and VegetationCover and VegetationSpecies and Vertebrate, \nHere
Crop SubClassOf Radiolarian, \nFalse
Crop SubClassOf Human, \nFalse
Crop SubClassOf MarineMicrobiota, False
Crop SubClassOf Animal, \nTrue
Crop SubClassOf Animal and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nTrue
Crop SubClassOf Flagellate, \nTrue
Crop SubClassOf Animal and Flagellate and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Poultry, \nFalse
Crop SubClassOf MarineMammal, \nTrue
Crop SubClassOf Animal and MarineMammal and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Amphibian, \nFalse
Crop SubClassOf Millipede, \nFalse
Crop SubClassOf Plankton, \nFalse
Crop SubClassOf Roundworm, False
Crop SubClassOf Microphyte, \nFalse
Crop SubClassOf SlimeMold, \nFalse
Crop SubClassOf Microbiota, \nTrue
Crop SubClassOf Animal and MarinePlant and Microalgae and Microbiota and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf MicrobiotaTaxonomy, \nTrue
Crop SubClassOf Animal and MarinePlant and Microalgae and MicrobiotaTaxonomy and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Coccolithophore, \nFalse
Crop SubClassOf Lichen, \nFalse
Crop SubClassOf Leaf, True
Crop SubClassOf Animal and Leaf and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Pollen, \nTrue
Crop SubClassOf Animal and MarinePlant and Microalgae and Pollen and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Mushroom, False
Crop SubClassOf Fish, \nFalse
Crop SubClassOf Reptile, \nFalse
Crop SubClassOf MarineAnimal, \nTrue
Crop SubClassOf Animal and MarineAnimal and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Macroalgae, \nFalse
Crop SubClassOf Foraminifer, \nTrue
Crop SubClassOf Animal and Foraminifer and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Dairy, \nFalse
Crop SubClassOf Liverwort, \nFalse
Crop SubClassOf Crustacean, \nTrue
Crop SubClassOf Animal and Crustacean and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Canopy, \nTrue
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nTrue
Crop SubClassOf Coral, False
Crop SubClassOf ExoticVegetation, False
Crop SubClassOf Macrophyte, \nFalse
Crop SubClassOf SegmentedWorm, \nFalse
Crop SubClassOf LivingThing, \nTrue
Crop SubClassOf Animal and Canopy and LivingThing and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Bird, \nFalse
Crop SubClassOf Fern, False
Crop SubClassOf DominantSpecies, \nTrue
Crop SubClassOf Animal and Canopy and DominantSpecies and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf BlueGreenAlgae, \nFalse
Crop SubClassOf EvergreenVegetation, \nTrue
Crop SubClassOf Animal and Canopy and EvergreenVegetation and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf TreeRing, \nFalse
Crop SubClassOf Vegetation, \nTrue
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Vegetation and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf ExoticSpecies, False
Crop SubClassOf Litter, False
Crop SubClassOf Crown, \nTrue
Crop SubClassOf Animal and Canopy and Crown and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Jellyfish, False
Crop SubClassOf Invertebrate, \nFalse
Crop SubClassOf Anemone, \nFalse
Crop SubClassOf Ciliate, \nTrue
Crop SubClassOf Animal and Canopy and Ciliate and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Zooplankton, \nFalse
Crop SubClassOf FloweringPlant, True
Crop SubClassOf Animal and Canopy and FloweringPlant and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Sporozoan, \nFalse
Crop SubClassOf IndigenousVegetation, \nTrue
Crop SubClassOf Animal and Canopy and IndigenousVegetation and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Nutrient, \nTrue
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Nutrient and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf IndigenousSpecies, \nFalse
Crop SubClassOf MarineInvertebrate, \nTrue
Crop SubClassOf Animal and Canopy and MarineInvertebrate and MarinePlant and Microalgae and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Conifer, False
Crop SubClassOf Yeast, False
Crop SubClassOf Mammal, \nFalse
Crop SubClassOf Protist, \nTrue
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nTrue
Crop SubClassOf Centipede, \nFalse
Crop SubClassOf Algae, \nFalse
Crop SubClassOf Arthropod, \nTrue
Crop SubClassOf Animal and Arthropod and Canopy and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf MarineBird, \nFalse
Crop SubClassOf Chlorophyll, \nFalse
Crop SubClassOf Mollusk, False
Crop SubClassOf Echinoderm, \nFalse
Crop SubClassOf Plant, \nTrue
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Plant and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Amoebae, \nFalse
Crop SubClassOf Insect, False
Crop SubClassOf Mold, False
Crop SubClassOf Bacteria, False
Crop SubClassOf DeciduousVegetation, \nTrue
Crop SubClassOf Animal and Canopy and DeciduousVegetation and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Phytoplankton, \nTrue
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Phytoplankton and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and FungiTaxonomy and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Moss and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies and Vertebrate, \nHere
Crop SubClassOf Animal and Canopy and Flagellate and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarineMammal and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Microbiota and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and MicrobiotaTaxonomy and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and Leaf and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Pollen and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarineAnimal and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and Foraminifer and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and Crustacean and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and LivingThing and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and DominantSpecies and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and EvergreenVegetation and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Protist and Vegetation and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and Crown and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and Ciliate and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and FloweringPlant and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and IndigenousVegetation and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarinePlant and Microalgae and Nutrient and Protist and VegetationCover and VegetationSpecies, \nHere
Crop SubClassOf Animal and Canopy and MarineInvertebrate and MarinePlant and Microalgae and Protist and VegetationCover and VegetationSpecies, \nHere
IndigenousSpecies and Microbiota SubClassOf Pollen, \nFalse
Liverwort and Reptile SubClassOf MarineAnimal, \nFalse
Flagellate and VegetationSpecies SubClassOf Mollusk, \nFalse
