Neuron and StructuralCell SubClassOf Erythrocyte, True
CirculatingCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
CirculatingCell SubClassOf PhotosyntheticCell, True
CirculatingCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
CirculatingCell SubClassOf PlantCell, True
CirculatingCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CirculatingCell SubClassOf CellByClass, True
CirculatingCell SubClassOf CellByClass and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf MatureCell, True
CirculatingCell SubClassOf CellByClass and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CirculatingCell SubClassOf AnimalCell, True
CirculatingCell SubClassOf AnimalCell and CellByClass and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CirculatingCell SubClassOf Cell, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True.
CirculatingCell SubClassOf Miocyte, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf InMatureCell, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf Osteocyte, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf ChondroBlast, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf MioBlast, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf CellByDevelopmentStage, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CirculatingCell SubClassOf PhotoreceptorCell, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CirculatingCell SubClassOf CellByOrganism, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CirculatingCell SubClassOf ElectricallyActiveCell, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CirculatingCell SubClassOf StructuralCell, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CirculatingCell SubClassOf Neuron, \nTrue
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CirculatingCell SubClassOf ChondroCyte, True
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, True.
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CirculatingCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
PhotoreceptorCell and PhotosyntheticCell SubClassOf StructuralCell, \nTrue
PhotoreceptorCell and PhotosyntheticCell SubClassOf SclerenchymaCell, True
PhotosyntheticCell SubClassOf SclerenchymaCell, True
PhotosyntheticCell SubClassOf LeafCell, True
PhotosyntheticCell SubClassOf LeafCell and SclerenchymaCell, True
PhotosyntheticCell SubClassOf Erythrocyte, True
PhotosyntheticCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf CirculatingCell, True
PhotosyntheticCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and SclerenchymaCell, True
PhotosyntheticCell SubClassOf PlantCell, True
PhotosyntheticCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PlantCell and SclerenchymaCell, True
PhotosyntheticCell SubClassOf CellByClass, True
PhotosyntheticCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf MatureCell, \nTrue
PhotosyntheticCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PlantCell and SclerenchymaCell, True
PhotosyntheticCell SubClassOf AnimalCell, True
PhotosyntheticCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf Cell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf Miocyte, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf InMatureCell, \nTrue
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf Osteocyte, False
PhotosyntheticCell SubClassOf ChondroBlast, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf MioBlast, \nTrue
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf CellByDevelopmentStage, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf PhotoreceptorCell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nTrue
PhotosyntheticCell SubClassOf CellByOrganism, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nHere
PhotosyntheticCell SubClassOf ElectricallyActiveCell, \nTrue
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell, \nHere
PhotosyntheticCell SubClassOf StructuralCell, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
PhotosyntheticCell SubClassOf Neuron, False
PhotosyntheticCell SubClassOf ChondroCyte, True
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
PhotosyntheticCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and PhotoreceptorCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByClass and PlantCell SubClassOf CellByOrganism, \nTrue
CellByClass and PlantCell SubClassOf SclerenchymaCell, \nTrue
PlantCell SubClassOf SclerenchymaCell, True
PlantCell SubClassOf LeafCell, True
PlantCell SubClassOf LeafCell and SclerenchymaCell, True
PlantCell SubClassOf Erythrocyte, True
PlantCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
PlantCell SubClassOf PhotosyntheticCell, True
PlantCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf CirculatingCell, True
PlantCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
PlantCell SubClassOf CellByClass, True
PlantCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf MatureCell, True
PlantCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, True
PlantCell SubClassOf AnimalCell, True
PlantCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf Cell, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf Miocyte, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf InMatureCell, \nTrue
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf Osteocyte, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf ChondroBlast, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf MioBlast, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf CellByDevelopmentStage, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
PlantCell SubClassOf PhotoreceptorCell, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nHere
PlantCell SubClassOf CellByOrganism, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf ElectricallyActiveCell, \nTrue
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PlantCell SubClassOf StructuralCell, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell and StructuralCell, \nHere
PlantCell SubClassOf Neuron, \nFalse
PlantCell SubClassOf ChondroCyte, True
PlantCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
